"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1",1,0.0887255038333762,0.1744,0.369512313562261,"preeclampsia_vs_PretermControls","cmap","metformin",1e-05,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598","NULL","DB00331",1
"2",2,0.139794780487918,0.00261,0.0144473684210526,"preeclampsia_vs_PretermControls","cmap","metformin",1e-05,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598","NULL","DB00331",1
"3",3,0.124649309581602,0.01203,0.0465332910589727,"preeclampsia_vs_PretermControls","cmap","metformin",1e-07,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598","NULL","DB00331",1
"4",4,0,1,1,"preeclampsia_vs_PretermControls","cmap","metformin",0.001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","D5035","1,1-dimethylbiguanide hydrochloride","C0025598","NULL","DB00331",1
"5",7,0,1,1,"preeclampsia_vs_PretermControls","cmap","valproic acid",0.001,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"6",12,0.123277928304323,0.01385,0.0517995095033722,"preeclampsia_vs_PretermControls","cmap","mesalazine",1e-04,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","A3537","5-aminosalicylic acid","NULL","NULL","DB00244",1
"7",43,0,1,1,"preeclampsia_vs_PretermControls","cmap","ciclosporin",1e-06,6,"MCF7","HG-U133A","ethanol","Calbiochem","239835","cyclosporine A","NULL","NULL","DB00091",1
"8",49,0.101933669956392,0.07629,0.189711491442543,"preeclampsia_vs_PretermControls","cmap","genistein",1e-06,6,"MCF7","HG-U133A","DMSO","Calbiochem","345834","genistein","NULL","NULL","DB01645",1
"9",50,0,1,1,"preeclampsia_vs_PretermControls","cmap","genistein",1e-06,6,"MCF7","HG-U133A","DMSO","Calbiochem","345834","genistein","NULL","NULL","DB01645",1
"10",51,-0.121585332653728,0.01599,0.0575791027154664,"preeclampsia_vs_PretermControls","cmap","fludrocortisone",1e-06,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","F6127","fludrocortisone acetate","C0616274","NULL","DB00687",1
"11",52,0,1,1,"preeclampsia_vs_PretermControls","cmap","fludrocortisone",1e-06,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","F6127","fludrocortisone acetate","C0616274","NULL","DB00687",1
"12",60,-0.170484890877363,7e-05,0.000807183364839319,"preeclampsia_vs_PretermControls","cmap","staurosporine",1e-06,6,"MCF7","HG-U133A","DMSO","Calbiochem","569397","staurosporine","EXPT02970","NULL","DB02010",1
"13",63,0,1,1,"preeclampsia_vs_PretermControls","cmap","acetylsalicylic acid",1e-04,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475","NULL","DB00945",1
"14",68,-0.115651912415741,0.02641,0.0836019719771666,"preeclampsia_vs_PretermControls","cmap","sirolimus",1e-07,6,"MCF7","HG-U133A","DMSO","Calbiochem","553210","rapamycin","C0072980","NULL","DB00877",1
"15",83,-0.0850382658679651,0.21056,0.427284098469727,"preeclampsia_vs_PretermControls","cmap","valproic acid",0.01,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"16",84,0,1,1,"preeclampsia_vs_PretermControls","cmap","valproic acid",0.002,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"17",85,-0.087995392132413,0.1811,0.380017199862401,"preeclampsia_vs_PretermControls","cmap","valproic acid",5e-04,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"18",86,-0.13331791636818,0.0051,0.0239123750960799,"preeclampsia_vs_PretermControls","cmap","valproic acid",5e-05,6,"MCF7","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"19",88,0.142367476198094,0.00193,0.0114858536585366,"preeclampsia_vs_PretermControls","cmap","sirolimus",1e-07,6,"HL60","HG-U133A","DMSO","Calbiochem","553210","rapamycin","C0072980","NULL","DB00877",1
"20",93,0,1,1,"preeclampsia_vs_PretermControls","cmap","fulvestrant",1e-06,6,"MCF7","HG-U133A","DMSO","Tocris","1047","ICI 182,780","C0935916","NULL","DB00947",1
"21",98,0.110912892987715,0.03833,0.111552003816794,"preeclampsia_vs_PretermControls","cmap","estradiol",1e-08,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","E1024","estradiol, USP","C1330622","NULL","DB00783",1
"22",101,0,1,1,"preeclampsia_vs_PretermControls","cmap","raloxifene",1e-07,6,"ssMCF7","HG-U133A","DMSO","Sigma-Aldrich","R1402","raloxifene hydrochloride","C0618111","NULL","DB00481",1
"23",107,0,1,1,"preeclampsia_vs_PretermControls","cmap","genistein",1e-05,6,"MCF7","HG-U133A","DMSO","Calbiochem","345834","genistein","NULL","NULL","DB01645",1
"24",109,-0.121847305144298,0.01557,0.0564331550802139,"preeclampsia_vs_PretermControls","cmap","tretinoin",1e-06,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","R2625","retinoic acid","C0040845","NULL","DB00755",1
"25",113,0.116046237316607,0.02552,0.0815890985324948,"preeclampsia_vs_PretermControls","cmap","tretinoin",1e-06,6,"HL60","HG-U133A","DMSO","Sigma-Aldrich","R2625","retinoic acid","C0040845","NULL","DB00755",1
"26",115,0.137095072830671,0.00344,0.0178739352640545,"preeclampsia_vs_PretermControls","cmap","sirolimus",1e-07,6,"ssMCF7","HG-U133A","DMSO","Calbiochem","553210","rapamycin","C0072980","NULL","DB00877",1
"27",120,0,1,1,"preeclampsia_vs_PretermControls","cmap","sodium phenylbutyrate",0.001,6,"MCF7","HG-U133A","medium","Calbiochem","567616","sodium 4-phenylbutyrate","NULL","NULL","DB06819",1
"28",121,0,1,1,"preeclampsia_vs_PretermControls","cmap","sodium phenylbutyrate",0.001,6,"MCF7","HG-U133A","medium","Calbiochem","567616","sodium 4-phenylbutyrate","NULL","NULL","DB06819",1
"29",122,0,1,1,"preeclampsia_vs_PretermControls","cmap","valproic acid",0.001,6,"HL60","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
"30",123,0.140262091719517,0.0025,0.0140552995391705,"preeclampsia_vs_PretermControls","cmap","valproic acid",0.01,6,"HL60","HG-U133A","medium","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
