exp_id	cmap_score	p	q	subset_comparison_id	analysis_id	name	concentration	duration	cell_line	array_platform	vehicle	vendor	vendor_catalog_id	vendor_catalog_name	drug_concept_id	cas_number	DrugBank.ID	valid	mycolor
2138	-0.273105203648008	0	0	preeclampsia_vs_PretermControls	cmap	lansoprazole	1.08e-05	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	1072	Lansoprazole [103577-45-3]	MMS_95	103577-45-3	DB00448	1	red
1268	-0.252918045665349	0	0	preeclampsia_vs_PretermControls	cmap	methotrexate	8.8e-06	6	HL60	HG-U133A	DMSO	Prestwick Chemical	135	Methotrexate [59-05-2]	C0025677	59-05-2	DB00563	1	red
2298	-0.247929639024429	0	0	preeclampsia_vs_PretermControls	cmap	halofantrine	7.4e-06	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	1031	Halofantrine hydrochloride [36167-63-2]	C0148859	36167-63-2	DB01218	1	red
1749	-0.22756723932992	0	0	preeclampsia_vs_PretermControls	cmap	streptozocin	1.5e-05	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	732	Streptozotocin [18883-66-4]	C0038432	18883-66-4	DB00428	1	red
2150	-0.227550555557212	0	0	preeclampsia_vs_PretermControls	cmap	levopropoxyphene	7.4e-06	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	1054	Levopropoxyphene napsylate [5714-90-9]	C1321938	5714-90-9	DB06793	1	red
577	-0.226638702510862	0	0	preeclampsia_vs_PretermControls	cmap	domperidone	7.4e-06	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	461	Domperidone maleate	C0771334	NULL	DB01184	1	red
491	-0.219633836313891	0	0	preeclampsia_vs_PretermControls	cmap	fulvestrant	1e-08	6	HL60	HT_HG-U133A	DMSO	Tocris	1047	ICI 182,780	C0935916	NULL	DB00947	1	red
497	-0.206810887325003	0	0	preeclampsia_vs_PretermControls	cmap	haloperidol	1e-05	6	HL60	HT_HG-U133A	DMSO	Sigma-Aldrich	H1512	haloperidol	C0720809	NULL	DB00502	1	red
1094	-0.206697205836522	0	0	preeclampsia_vs_PretermControls	cmap	metformin	2.42e-05	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	4	Metformin hydrochloride [1115-70-4]	C0025598	1115-70-4	DB00331	1	red
4864	-0.200875521336848	0	0	preeclampsia_vs_PretermControls	cmap	estradiol	1e-08	6	HL60	HT_HG-U133A	DMSO	Sigma-Aldrich	E1024	estradiol, USP	C1330622	NULL	DB00783	1	red
495	-0.199692877825767	0	0	preeclampsia_vs_PretermControls	cmap	sirolimus	1e-07	6	HL60	HT_HG-U133A	DMSO	Sigma-Aldrich	R0395	Rapamycin	C0072980	NULL	DB00877	1	red
1593	-0.196233872215052	0	0	preeclampsia_vs_PretermControls	cmap	fludrocortisone	9.4e-06	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	281	Fludrocortisone acetate [514-36-3]	C0616274	514-36-3	DB00687	1	red
1104	-0.195124711821981	0	0	preeclampsia_vs_PretermControls	cmap	dapsone	1.62e-05	6	HL60	HT_HG-U133A	DMSO	Prestwick Chemical	35	Dapsone [80-08-0]	C0010980	80-08-0	DB00250	1	red
1864	-0.193425782133609	1e-05	0.000204697986577181	preeclampsia_vs_PretermControls	cmap	rosiglitazone	1e-05	6	HL60	HT_HG-U133A	DMSO	LKT Laboratories	R5772	rosiglitazone	C0289313	NULL	DB00412	1	red
1272	-0.189139542909339	1e-05	0.000204697986577181	preeclampsia_vs_PretermControls	cmap	guanabenz	1.38e-05	6	HL60	HG-U133A	DMSO	Prestwick Chemical	96	Guanabenz acetate [23256-50-0]	C0733381	23256-50-0	DB00629	1	red
